19.00 -91.00 -64.00 | 25.00 -40.00 -72.00
-67.00 -90.00 16.00 | -58.00 -42.00 15.00
-66.00 -89.00 17.00 | -58.00 -42.00 17.00
-65.00 -90.00 18.00 | -56.00 -43.00 19.00
-63.00 -90.00 19.00 | -56.00 -43.00 19.00
-63.00 -90.00 20.00 | -55.00 -43.00 20.00
-62.00 -90.00 21.00 | -53.00 -43.00 21.00
-60.00 -90.00 22.00 | -53.00 -43.00 22.00
-60.00 -91.00 23.00 | -52.00 -44.00 23.00
-60.00 -91.00 23.00 | -50.00 -44.00 24.00
-58.00 -91.00 25.00 | -49.00 -43.00 24.00
-56.00 -92.00 26.00 | -48.00 -44.00 26.00
-56.00 -92.00 28.00 | -47.00 -44.00 26.00
-54.00 -92.00 28.00 | -46.00 -43.00 29.00
-54.00 -91.00 30.00 | -46.00 -44.00 28.00
-53.00 -91.00 30.00 | -45.00 -44.00 29.00
-53.00 -90.00 30.00 | -44.00 -43.00 30.00
-52.00 -91.00 32.00 | -43.00 -43.00 31.00
-51.00 -91.00 31.00 | -41.00 -44.00 31.00
-48.00 -92.00 34.00 | -39.00 -44.00 33.00
-46.00 -91.00 35.00 | -38.00 -44.00 33.00
-45.00 -91.00 36.00 | -37.00 -44.00 36.00
-44.00 -91.00 37.00 | -34.00 -43.00 37.00
-42.00 -91.00 38.00 | -33.00 -44.00 37.00
-38.00 -91.00 38.00 | -29.00 -44.00 39.00
-34.00 -91.00 41.00 | -25.00 -44.00 41.00
-33.00 -90.00 44.00 | -25.00 -42.00 43.00
-32.00 -90.00 44.00 | -24.00 -43.00 44.00
-27.00 -92.00 42.00 | -17.00 -45.00 42.00
-22.00 -93.00 42.00 | -12.00 -47.00 41.00
-19.00 -94.00 42.00 | -10.00 -46.00 42.00
-14.00 -93.00 44.00 | -6.00 -46.00 43.00
-12.00 -92.00 45.00 | -2.00 -45.00 45.00
-10.00 -93.00 45.00 | 0.00 -46.00 44.00
-5.00 -94.00 44.00 | 5.00 -46.00 43.00
1.00 -94.00 44.00 | 10.00 -45.00 43.00
3.00 -93.00 43.00 | 12.00 -45.00 42.00
7.00 -92.00 43.00 | 15.00 -45.00 43.00
11.00 -92.00 41.00 | 20.00 -45.00 42.00
15.00 -93.00 40.00 | 23.00 -45.00 39.00
19.00 -93.00 39.00 | 28.00 -45.00 37.00
22.00 -94.00 36.00 | 30.00 -45.00 35.00
24.00 -93.00 35.00 | 34.00 -46.00 33.00
27.00 -93.00 33.00 | 36.00 -45.00 32.00
30.00 -92.00 32.00 | 38.00 -44.00 31.00
32.00 -92.00 31.00 | 43.00 -45.00 27.00
35.00 -94.00 27.00 | 44.00 -45.00 25.00
37.00 -95.00 24.00 | 46.00 -46.00 21.00
37.00 -94.00 23.00 | 48.00 -46.00 19.00
40.00 -94.00 19.00 | 49.00 -46.00 17.00
42.00 -95.00 15.00 | 51.00 -46.00 14.00
42.00 -95.00 13.00 | 53.00 -46.00 12.00
44.00 -95.00 14.00 | 55.00 -45.00 10.00
44.00 -96.00 10.00 | 55.00 -46.00 9.00
46.00 -95.00 6.00 | 57.00 -46.00 4.00
47.00 -96.00 4.00 | 57.00 -47.00 0.00
49.00 -96.00 -1.00 | 59.00 -46.00 -3.00
49.00 -97.00 -4.00 | 58.00 -47.00 -8.00
